names_neat,sex_1,sex_NA,parity_bin_0,parity_bin_NA,ethn3_m_f_0,ethn3_m_f_1,ethn3_m_f_NA,preg_smk_1,preg_smk_NA
ABCD (n=6152),3063 (49.8),0 (0),3302 (53.7),45 (0.7),3463 (56.3),2644 (43),45 (0.7),670 (10.9),3 (0)
ALSPAC (n=10499),5279 (50.3),0 (0),4521 (43.1),544 (5.2),9628 (91.7),155 (1.5),716 (6.8),2332 (22.2),1283 (12.2)
BiB (n=13400),6920 (51.6),0 (0),4985 (37.2),766 (5.7),4685 (35),6411 (47.8),2304 (17.2),1822 (13.6),2313 (17.3)
CHOP (n=1669),843 (50.5),0 (0),817 (49),6 (0.4),NA,NA,NA,580 (34.8),3 (0.2)
DNBC (n=77534),39297 (50.7),0 (0),36799 (47.5),0 (0),NA,NA,NA,19237 (24.8),1068 (1.4)
EDEN (n=1765),918 (52),0 (0),798 (45.2),3 (0.2),NA,NA,NA,449 (25.4),5 (0.3)
ELFE (n=17926),9223 (51.5),0 (0),8120 (45.3),250 (1.4),12550 (70),3141 (17.5),2235 (12.5),3563 (19.9),207 (1.2)
GECKO (n=2748),1384 (50.4),0 (0),1107 (40.3),12 (0.4),2489 (90.6),113 (4.1),146 (5.3),427 (15.5),3 (0.1)
GENR (n=8680),4376 (50.4),0 (0),4660 (53.7),251 (2.9),4664 (53.7),3544 (40.8),472 (5.4),1933 (22.3),1231 (14.2)
HGS (n=2570),1299 (50.5),0 (0),0 (0),81 (3.2),NA,NA,NA,671 (26.1),0 (0)
INMA (n=1918),989 (51.6),0 (0),1030 (53.7),62 (3.2),1826 (95.2),86 (4.5),6 (0.3),597 (31.1),27 (1.4)
MoBa (n=85589),43849 (51.2),0 (0),40826 (47.7),71 (0.1),NA,NA,NA,19181 (22.4),1 (0)
NINFEA (n=6532),3312 (50.7),0 (0),4520 (69.2),316 (4.8),NA,NA,NA,516 (7.9),74 (1.1)
NFBC66 (n=7709),4125 (53.5),0 (0),7 (0.1),0 (0),NA,NA,NA,1602 (20.8),122 (1.6)
NFBC86 (n=7315),3716 (50.8),0 (0),2494 (34.1),10 (0.1),NA,NA,NA,1779 (24.3),8 (0.1)
Raine (n=2548),1300 (51),0 (0),1191 (46.7),52 (2),2233 (87.6),263 (10.3),52 (2),688 (27),52 (2)
RHEA (n=1002),526 (52.5),0 (0),450 (44.9),11 (1.1),NA,NA,NA,302 (30.1),84 (8.4)
SWS (n=3012),1564 (51.9),0 (0),1550 (51.5),3 (0.1),NA,NA,NA,451 (15),138 (4.6)
Combined (n=258568),131983 (51),0 (0),117177 (45.3),2483 (1),41538 (65),16357 (25.6),5976 (9.4),56800 (22),6622 (2.6)
