exposure,variable,age,cohort_n_all,n_obs_all,est_all,cohort_n_oldest_only,n_obs_oldest_only,est_oldest_only
mat_ed,edu_m2,bmi_24,17,206180,"0.01 (0, 0.02)",5,17728,"0.02 (-0.02, 0.07)"
mat_ed,edu_m2,bmi_48,16,91556,"-0.02 (-0.04, -0.01)",4,11217,"-0.03 (-0.08, 0.03)"
mat_ed,edu_m2,bmi_96,17,151286,"0.09 (0.08, 0.1)",5,21052,"0.02 (-0.03, 0.06)"
mat_ed,edu_m2,bmi_168,18,121020,"0.15 (0.13, 0.16)",5,23049,"0.1 (0.05, 0.14)"
mat_ed,edu_m3,bmi_24,17,206180,"0.02 (0, 0.03)",5,17728,"0.04 (0, 0.09)"
mat_ed,edu_m3,bmi_48,16,91556,"0.03 (0, 0.05)",4,11217,"-0.01 (-0.07, 0.05)"
mat_ed,edu_m3,bmi_96,17,151286,"0.16 (0.14, 0.17)",5,21052,"0.02 (-0.02, 0.07)"
mat_ed,edu_m3,bmi_168,18,121020,"0.24 (0.22, 0.26)",5,23049,"0.15 (0.1, 0.2)"
area_dep,area_dep2,bmi_24,10,41295,"0 (-0.03, 0.03)",2,1025,"-0.09 (-0.25, 0.07)"
area_dep,area_dep2,bmi_48,9,23569,"0 (-0.04, 0.04)",1,754,"0.11 (-0.05, 0.27)"
area_dep,area_dep2,bmi_96,10,37337,"0.04 (0, 0.07)",2,3946,"0.04 (-0.05, 0.13)"
area_dep,area_dep2,bmi_168,10,30570,"0.08 (0.04, 0.12)",2,6465,"0.08 (0, 0.16)"
area_dep,area_dep3,bmi_24,10,41295,"-0.02 (-0.05, 0.01)",2,1025,"0.07 (-0.1, 0.24)"
area_dep,area_dep3,bmi_48,9,23569,"0.01 (-0.03, 0.05)",1,754,"0.23 (0.06, 0.4)"
area_dep,area_dep3,bmi_96,10,37337,"0.07 (0.04, 0.1)",2,3946,"0.1 (-0.01, 0.2)"
area_dep,area_dep3,bmi_168,10,30570,"0.13 (0.1, 0.17)",2,6465,"0.12 (0.03, 0.2)"
ndvi,ndvi300_preg_iqr_c,bmi_24,10,39690,"0.05 (0.03, 0.06)",2,1013,"-0.04 (-0.16, 0.07)"
ndvi,ndvi300_preg_iqr_c,bmi_48,9,22658,"0.02 (0, 0.04)",1,742,"-0.04 (-0.16, 0.08)"
ndvi,ndvi300_preg_iqr_c,bmi_96,10,36040,"0.04 (0.02, 0.05)",2,3880,"0.01 (-0.06, 0.07)"
ndvi,ndvi300_preg_iqr_c,bmi_168,10,29566,"0.04 (0.01, 0.06)",2,6313,"0.04 (-0.01, 0.1)"
preg_dia,preg_dia1,bmi_24,14,177600,"0 (-0.04, 0.04)",3,4160,"0 (-0.32, 0.32)"
preg_dia,preg_dia1,bmi_48,13,72610,"0.03 (-0.03, 0.08)",2,1029,"0.29 (-0.35, 0.93)"
preg_dia,preg_dia1,bmi_96,14,124004,"0.01 (-0.03, 0.06)",3,6766,"0.21 (-0.1, 0.52)"
preg_dia,preg_dia1,bmi_168,14,96972,"0.18 (0.12, 0.25)",3,9798,"0.28 (-0.01, 0.58)"
