exposure,age,variable,k_main,n_main,est_main,k_males,n_males,est_males,k_females,n_females,est_females
edu_m,bmi_24,edu_m2,17,206180,"0.01 (0,0.02)",17,105399,"0.02 (0,0.04)",17,100781,"0 (-0.01,0.02)"
edu_m,bmi_48,edu_m2,16,91556,"-0.02 (-0.04,-0.01)",16,46735,"-0.03 (-0.05,-0.01)",16,44821,"-0.02 (-0.04,0)"
edu_m,bmi_96,edu_m2,17,151286,"0.09 (0.08,0.1)",17,77579,"0.09 (0.07,0.11)",17,73707,"0.09 (0.07,0.11)"
edu_m,bmi_168,edu_m2,18,121020,"0.15 (0.13,0.16)",18,60963,"0.14 (0.12,0.17)",18,60057,"0.15 (0.13,0.17)"
edu_m,bmi_215,edu_m2,5,27253,"0.1 (0.07,0.14)",5,12511,"0.09 (0.03,0.15)",5,14742,"0.11 (0.06,0.15)"
edu_m,bmi_24,edu_m3,17,206180,"0.02 (0,0.03)",17,105399,"0.02 (0,0.04)",17,100781,"0.02 (0,0.04)"
edu_m,bmi_48,edu_m3,16,91556,"0.03 (0,0.05)",16,46735,"0.02 (-0.02,0.05)",16,44821,"0.04 (0,0.07)"
edu_m,bmi_96,edu_m3,17,151286,"0.16 (0.14,0.17)",17,77579,"0.16 (0.13,0.19)",17,73707,"0.15 (0.13,0.17)"
edu_m,bmi_168,edu_m3,18,121020,"0.24 (0.22,0.26)",18,60963,"0.21 (0.18,0.24)",18,60057,"0.27 (0.24,0.3)"
edu_m,bmi_215,edu_m3,5,27253,"0.2 (0.16,0.23)",5,12511,"0.14 (0.08,0.2)",5,14742,"0.24 (0.19,0.29)"
area_dep,bmi_24,area_dep2,10,41295,"0 (-0.03,0.03)",10,21074,"0 (-0.04,0.05)",10,20221,"0 (-0.04,0.04)"
area_dep,bmi_48,area_dep2,9,23569,"0 (-0.04,0.04)",8,11925,"-0.03 (-0.09,0.02)",8,11560,"0.03 (-0.03,0.08)"
area_dep,bmi_96,area_dep2,10,37337,"0.04 (0,0.07)",10,18949,"0.01 (-0.04,0.05)",10,18388,"0.07 (0.02,0.11)"
area_dep,bmi_168,area_dep2,10,30570,"0.08 (0.04,0.12)",10,15318,"0.06 (0,0.11)",10,15252,"0.1 (0.05,0.15)"
area_dep,bmi_215,area_dep2,2,6985,"0.1 (0.04,0.16)",2,3214,"0.13 (0.04,0.22)",2,3771,"0.07 (-0.01,0.15)"
area_dep,bmi_24,area_dep3,10,41295,"-0.02 (-0.05,0.01)",10,21074,"-0.02 (-0.07,0.02)",10,20221,"-0.01 (-0.05,0.02)"
area_dep,bmi_48,area_dep3,9,23569,"0.01 (-0.03,0.05)",8,11925,"0 (-0.05,0.05)",8,11560,"0.02 (-0.03,0.07)"
area_dep,bmi_96,area_dep3,10,37337,"0.07 (0.04,0.1)",10,18949,"0.07 (0.02,0.11)",10,18388,"0.07 (0.03,0.11)"
area_dep,bmi_168,area_dep3,10,30570,"0.13 (0.1,0.17)",10,15318,"0.12 (0.07,0.17)",10,15252,"0.14 (0.1,0.19)"
area_dep,bmi_215,area_dep3,2,6985,"0.16 (0.1,0.23)",2,3214,"0.13 (0.03,0.22)",2,3771,"0.19 (0.11,0.28)"
ndvi,bmi_24,ndvi300_preg_iqr_c,10,39690,"0.05 (0.03,0.06)",10,20225,"0.05 (0.02,0.07)",10,19465,"0.05 (0.03,0.07)"
ndvi,bmi_48,ndvi300_preg_iqr_c,9,22658,"0.02 (0,0.04)",8,11451,"0.02 (-0.01,0.05)",8,11127,"0.02 (-0.01,0.05)"
ndvi,bmi_96,ndvi300_preg_iqr_c,10,36040,"0.04 (0.02,0.05)",10,18288,"0.03 (0.01,0.06)",10,17752,"0.04 (0.02,0.06)"
ndvi,bmi_168,ndvi300_preg_iqr_c,10,29566,"0.04 (0.01,0.06)",10,14799,"0.03 (0,0.06)",10,14767,"0.04 (0.01,0.07)"
ndvi,bmi_215,ndvi300_preg_iqr_c,2,7096,"0 (-0.04,0.04)",2,3246,"0.01 (-0.05,0.07)",2,3850,"-0.01 (-0.07,0.04)"
preg_dia,bmi_24,preg_dia1,14,177600,"0 (-0.04,0.04)",11,86379,"0.02 (-0.04,0.08)",13,86344,"-0.01 (-0.07,0.04)"
preg_dia,bmi_48,preg_dia1,13,72610,"0.03 (-0.03,0.08)",10,36199,"0.05 (-0.03,0.13)",11,34985,"0.02 (-0.06,0.1)"
preg_dia,bmi_96,preg_dia1,14,124004,"0.01 (-0.03,0.06)",14,63493,"-0.04 (-0.11,0.03)",14,60511,"0.07 (0.01,0.14)"
preg_dia,bmi_168,preg_dia1,14,96972,"0.18 (0.12,0.25)",13,48471,"0.23 (0.13,0.32)",14,48334,"0.14 (0.05,0.23)"
preg_dia,bmi_215,preg_dia1,3,12530,"0.17 (-0.04,0.38)",3,4145,"0.06 (-0.32,0.43)",3,7500,"0.29 (0.01,0.57)"
