names_neat,valid_n_wt.730,med_range_wt.730,valid_n_wt.1461,med_range_wt.1461,valid_n_wt.2922,med_range_wt.2922,valid_n_wt.5113,med_range_wt.5113,valid_n_wt.6544,med_range_wt.6544
ALSPAC (n=10499),1420,"7 (6.3, 8)",1221,"12.8 (11.9, 13.9)",5682,"20 (18.1, 22)",9585,"29 (26, 34)",7675,"58 (51.3, 65.3)"
BiB (n=13400),12959,"3.6 (3.2, 4.3)",6225,"13.2 (12, 14.8)",10539,"18.1 (16.4, 20)",5592,"27.7 (24.3, 32.9)",NA,"NA (NA, NA)"
CHOP (n=1669),1668,"3.5 (3.1, 4)",938,"12.7 (11.7, 13.7)",1092,"18.2 (16.4, 21)",755,"32.4 (27, 40.6)",NA,"NA (NA, NA)"
DNBC (n=77534),56821,"7.8 (7.1, 8.5)",NA,"17.3 (16.3, 24.3)",43164,"24.2 (22, 27)",44177,"39 (34, 45)",6508,"65 (58, 75)"
EDEN (n=1765),1760,"3.6 (3.1, 4.4)",1521,"12.8 (11.8, 14)",1278,"18 (16.2, 19.8)",904,"29 (25, 35)",NA,"NA (NA, NA)"
ELFE (n=17926),17795,"3.4 (3, 3.7)",10773,"13 (11.8, 14.5)",10192,"18 (16.3, 20)",3360,"27 (24.6, 30.4)",NA,"NA (NA, NA)"
GECKO (n=2748),2738,"4.6 (4.2, 5.2)",2212,"13.5 (12.5, 14.9)",2309,"21.6 (19.5, 23.9)",2180,"37.6 (33.7, 43.2)",NA,"NA (NA, NA)"
GENR (n=8680),7230,"4.8 (4.2, 6.1)",6466,"13.3 (12.2, 14.6)",6572,"22.2 (20.2, 24.8)",5723,"33.8 (30.2, 38.8)",NA,"NA (NA, NA)"
HGS (n=2570),NA,"NA (NA, NA)",NA,"NA (NA, NA)",NA,"NA (NA, NA)",2568,"43.5 (37.1, 52)",NA,"54.3 (52.6, 55.9)"
INMA (n=1918),1910,"3.6 (3.2, 4)",1177,"13.1 (11.9, 14.5)",1634,"17.4 (16, 19.2)",1043,"32.4 (27.6, 38.8)",NA,"NA (NA, NA)"
MoBa (n=85589),85079,"5.4 (4.8, 6.1)",45673,"13.8 (12.5, 15)",49728,"21 (19, 24)",33473,"28 (25, 31)",NA,"NA (NA, NA)"
NINFEA (n=6532),6269,"6 (5.4, 7)",255,"13.5 (12, 15)",4870,"16 (15, 18)",1109,"34 (29.3, 40)",NA,"52 (47, 55)"
NFBC66 (n=7709),7379,"5.7 (4.6, 7.3)",5809,"13.1 (12, 14.5)",7268,"18.5 (16.6, 21.2)",7239,"29 (25, 33.5)",7035,"52 (46.3, 58)"
NFBC86 (n=7315),5141,"4.9 (4.3, 5.6)",4739,"13.1 (12, 14.4)",7110,"19 (16.8, 23)",4750,"29.6 (26.1, 34)",5760,"56 (50, 63.2)"
Raine (n=2548),2303,"10.2 (9.4, 11.1)",614,"12.8 (11.8, 14)",2088,"21 (19.1, 23.2)",1988,"30.8 (26.5, 36.9)",1623,"57.9 (50.9, 67.5)"
RHEA (n=1002),974,"3.7 (3.3, 4.2)",684,"13.3 (12.2, 14.6)",887,"17.8 (16.2, 19.8)",334,"41.5 (35.3, 49.4)",NA,"NA (NA, NA)"
SWS (n=3012),2942,"8.3 (7.5, 9.3)",2701,"13.1 (12, 14.4)",2166,"19.5 (16.8, 22.9)",1209,"29.7 (26.7, 34.3)",NA,"NA (NA, NA)"
Combined (n=252416),220057,"5.7 (5.1, 6.5)",95779,"13.5 (12.3, 14.8)",161333,"21 (19, 23.7)",129592,"33.1 (29.1, 38)",28613,"57.7 (51.3, 65.4)"
NA,5669,"4.7 (4.2, 5.2)",4763,"13.6 (12.5, 15)",4754,"19.5 (17.5, 21.7)",3603,"36.6 (32.5, 42)",NA,"NA (NA, NA)"
